usability	quality_score	bvid	title	model	segment_count	char_count	path
medium	58.12	BV14f4y1B7yE	我的一战回忆录	small	23	158	sources/transcripts/bilibili_batch/BV14f4y1B7yE 我的一战回忆录.json
medium	44.3	BV1ft4y1m7cV	【直播剪辑】我的西线回忆录	small	7	29	sources/transcripts/bilibili_batch/BV1ft4y1m7cV 【直播剪辑】我的西线回忆录.json
