usability	quality_score	bvid	title	model	vad_filter	segment_count	char_count	cjk_ratio	unique_segment_ratio	top_repeat_ratio	chars_per_minute	path
medium	58.12	BV14f4y1B7yE	我的一战回忆录	small	True	23	158	1.00	1.00	0.0435	30.48	sources/transcripts/bilibili_batch/BV14f4y1B7yE 我的一战回忆录.json
medium	44.30	BV1ft4y1m7cV	【直播剪辑】我的西线回忆录	small	True	7	29	0.8966	1.00	0.1429	14.50	sources/transcripts/bilibili_batch/BV1ft4y1m7cV 【直播剪辑】我的西线回忆录.json
